run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
hsa_dynamic_unemployment_gap_pre_2008_baseline_20260623_034402,hsa_dynamic,unemployment_gap_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2007-09-30,theta,inflation effect per +10 log-point Nhat deviation,0.29225776132869635,0.22035261853199897,-0.16920858326165336,0.6799591342350985,0.8878125,0.1121875
hsa_full_unemployment_gap_pre_2008_baseline_20260623_040017,hsa_full,unemployment_gap_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2007-09-30,alpha,share,0.6139639916320274,0.06604854486413363,0.48691226231077583,0.7424260281940499,1.0,0.0
hsa_full_unemployment_gap_pre_2008_baseline_20260623_040017,hsa_full,unemployment_gap_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2007-09-30,delta,change in kappa_t per +10 log-point Nbar deviation,0.0014710354174716877,0.018153878453593193,-0.03453737635823498,0.036715403739723554,0.534375,0.465625
hsa_full_unemployment_gap_pre_2008_baseline_20260623_040017,hsa_full,unemployment_gap_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2007-09-30,gamma,change in theta_t per +10 log-point Nbar deviation,-4.996412881449488e-05,0.01983804189024949,-0.039741498470988006,0.03788661047725177,0.5009375,0.4990625
hsa_full_unemployment_gap_pre_2008_baseline_20260623_040017,hsa_full,unemployment_gap_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2007-09-30,kappa_0,inflation points per x point at average Nbar,0.1777725189490424,0.06547303881017374,0.052310243520047726,0.31148606925577493,0.9965625,0.0034375
hsa_full_unemployment_gap_pre_2008_baseline_20260623_040017,hsa_full,unemployment_gap_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2007-09-30,rho_1,AR(2) coefficient,0.949908526860313,0.13085004896596855,0.6880003294941825,1.2024081200874694,1.0,0.0
hsa_full_unemployment_gap_pre_2008_baseline_20260623_040017,hsa_full,unemployment_gap_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2007-09-30,rho_2,AR(2) coefficient,-0.06339605369251354,0.11821879722004248,-0.29757553383659835,0.1680041233409175,0.299375,0.700625
hsa_full_unemployment_gap_pre_2008_baseline_20260623_040017,hsa_full,unemployment_gap_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2007-09-30,theta_0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.2594829653474821,0.12671650030629972,0.01870006365919086,0.5257871343114222,0.9828125,0.0171875
hsa_steady_unemployment_gap_pre_2008_baseline_20260623_032740,hsa_steady,unemployment_gap_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2007-09-30,alpha,share,0.6816570503051119,0.05339110825282959,0.5760003710847427,0.7870936256461627,1.0,0.0
hsa_steady_unemployment_gap_pre_2008_baseline_20260623_032740,hsa_steady,unemployment_gap_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2007-09-30,delta,change in kappa_t per +10 log-point Nbar deviation,0.0038962026418056695,0.019703098288256518,-0.03451782860907352,0.042819724814301394,0.5703125,0.4296875
hsa_steady_unemployment_gap_pre_2008_baseline_20260623_032740,hsa_steady,unemployment_gap_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2007-09-30,kappa_0,inflation points per x point at average Nbar,0.16189179004022575,0.044299999731113066,0.07513904599512267,0.24812700329870685,0.9996875,0.0003125
hsa_steady_unemployment_gap_pre_2008_baseline_20260623_032740,hsa_steady,unemployment_gap_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2007-09-30,rho_1,AR(2) coefficient,0.7185718247965315,0.18554254615203172,0.3324791057251785,1.0524155213959399,1.0,0.0
hsa_steady_unemployment_gap_pre_2008_baseline_20260623_032740,hsa_steady,unemployment_gap_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2007-09-30,rho_2,AR(2) coefficient,-0.058240563379794906,0.1561660927091741,-0.3820222739082962,0.2412964362775537,0.361875,0.638125
ces_unemployment_gap_start_1988_baseline_20260623_032415,ces,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,1988-03-31,2012-12-31,alpha,share,0.6261638406841408,0.061775156307028296,0.5023884499304689,0.7461399557418315,1.0,0.0
ces_unemployment_gap_start_1988_baseline_20260623_032415,ces,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,1988-03-31,2012-12-31,kappa,inflation points per x point,-0.006707866654638581,0.038186001905813984,-0.0808383971680952,0.06987790821245443,0.4190625,0.5809375
hsa_dynamic_unemployment_gap_start_1988_baseline_20260623_035101,hsa_dynamic,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,1988-03-31,2012-12-31,alpha,share,0.6157479025849761,0.0616316678771337,0.49214541772355797,0.7356166102402888,1.0,0.0
hsa_dynamic_unemployment_gap_start_1988_baseline_20260623_035101,hsa_dynamic,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,1988-03-31,2012-12-31,kappa,inflation points per x point,0.0001902926148351569,0.03982871414604991,-0.07418263375013989,0.08386339805013691,0.5,0.5
hsa_dynamic_unemployment_gap_start_1988_baseline_20260623_035101,hsa_dynamic,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,1988-03-31,2012-12-31,rho_1,AR(2) coefficient,0.6677885428076226,0.20833328831579925,0.2502070433961133,1.0285605651259653,0.99875,0.00125
hsa_dynamic_unemployment_gap_start_1988_baseline_20260623_035101,hsa_dynamic,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,1988-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.07142603087489367,0.14704825968595342,-0.3891475476793969,0.19276981518652098,0.325625,0.674375
hsa_dynamic_unemployment_gap_start_1988_baseline_20260623_035101,hsa_dynamic,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,1988-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,0.15598825215522286,0.20573325417381258,-0.25221530113418555,0.55498204287562,0.780625,0.219375
hsa_full_unemployment_gap_start_1988_baseline_20260623_040601,hsa_full,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,1988-03-31,2012-12-31,alpha,share,0.6080781492940679,0.06513960832373059,0.47623395602381996,0.7312437515971043,1.0,0.0
hsa_full_unemployment_gap_start_1988_baseline_20260623_040601,hsa_full,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,1988-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,0.0053201763493027675,0.017026156939562193,-0.029955463772330954,0.037200750491821775,0.634375,0.365625
hsa_full_unemployment_gap_start_1988_baseline_20260623_040601,hsa_full,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,1988-03-31,2012-12-31,gamma,change in theta_t per +10 log-point Nbar deviation,-0.0007336888761885465,0.019657022351832042,-0.03946025617098813,0.038438787329261155,0.483125,0.516875
hsa_full_unemployment_gap_start_1988_baseline_20260623_040601,hsa_full,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,1988-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.014531137175871366,0.049472392154769174,-0.08138991526338081,0.11260118389174824,0.6215625,0.3784375
hsa_full_unemployment_gap_start_1988_baseline_20260623_040601,hsa_full,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,1988-03-31,2012-12-31,rho_1,AR(2) coefficient,0.856054518609302,0.14451895343414012,0.5601559089409386,1.1232537433862726,1.0,0.0
hsa_full_unemployment_gap_start_1988_baseline_20260623_040601,hsa_full,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,1988-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.0725167552908574,0.12890163135507526,-0.33669256609960546,0.17040535061051112,0.2946875,0.7053125
hsa_full_unemployment_gap_start_1988_baseline_20260623_040601,hsa_full,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,1988-03-31,2012-12-31,theta_0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.15197025695648406,0.18736873349918556,-0.21097952410128312,0.5322000356517239,0.7971875,0.2028125
hsa_steady_unemployment_gap_start_1988_baseline_20260623_033422,hsa_steady,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,1988-03-31,2012-12-31,alpha,share,0.6266027224161234,0.06166609775475684,0.5061841182702699,0.7457157266351,1.0,0.0
hsa_steady_unemployment_gap_start_1988_baseline_20260623_033422,hsa_steady,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,1988-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,0.007464224618884813,0.01651433230861047,-0.02414102239520301,0.04045042378432465,0.660625,0.339375
hsa_steady_unemployment_gap_start_1988_baseline_20260623_033422,hsa_steady,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,1988-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.007855516056364082,0.0472277065737516,-0.082723242913629,0.1017446091390202,0.5621875,0.4378125
hsa_steady_unemployment_gap_start_1988_baseline_20260623_033422,hsa_steady,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,1988-03-31,2012-12-31,rho_1,AR(2) coefficient,0.6654352715517814,0.18526671993737784,0.2791758855210798,1.008064368248188,1.0,0.0
hsa_steady_unemployment_gap_start_1988_baseline_20260623_033422,hsa_steady,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,1988-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.09281239953555052,0.15207684307193595,-0.38628561668793376,0.19892985707574748,0.2846875,0.7153125
